audit_order	address	name	research_name	function_end	size	closure_status	target_owner	implementation_mapping	evidence	verification	final_review	remaining
1	0x20D35	main	main	0x20FAA	629	platform_adapted	app	src/platform/sdl3/main.cpp:main;src/app/legacy_game_runtime.cpp:LegacyGameRuntime::handle_world_input/advance/advance_scene_effect/perform_pending_io/finish_presented_tick/render;src/input/legacy_keyboard.cpp:LegacyKeyboard::edge/consume_edge;src/world/world_map.cpp:WorldSession::idle_tick/periodic_tick/idle_animation_tick/cycle_palette;src/scene/scene.cpp:SceneSession::finish_tick_after_scene_present/cycle_palette	research/evidence/functions/Z_DAT/0x20D35.md	current Z.DAT entry-to-exit assembly-to-C++ review including scene-slot main clear/load branch; Linux app Debug 14/14 proc_c33b; original runtime oracle blocked	converged_no_new_differences
2	0x28E40	sub_28E40	scene_session	0x29391	1361	implemented_pending_review	scene	src/scene/scene.cpp:SceneSession::tick/finish_tick_after_action/finish_tick_after_auto_event/complete_scene_jump; src/app/legacy_game_runtime.cpp:advance/handle_scene_result; src/platform/sdl3/main.cpp:scene music request dispatch	research/evidence/functions/Z_DAT/0x28E40.md	Linux Debug BUILD script; independent entry/loop/transition/metadata vectors	not_started	complete final review; audit delegated input/menu/render/time/world caller boundaries
3	0x29391	sub_29391	scene_archives_open	0x294AD	284	implemented_pending_review	persistence	src/persistence/save_slot.cpp:load_snapshot; src/scene/scene.cpp:SceneSession	research/evidence/functions/Z_DAT/0x29391.md	Linux Debug BUILD script; 100 fixed archive entries and scene70 render hash	not_started	complete final review; audit delegated packed archive/error/session order
4	0x294AD	sub_294AD	scene_archive_swap_open	0x29537	138	implemented_pending_review	model	model::GameSnapshot::scene_value; SceneSession::scene_value	research/evidence/functions/Z_DAT/0x294AD.md	framework occurrence scan; direct all-scene snapshot ownership	not_started	complete final review; current KDEF has no external opcode38 occurrence
5	0x29537	sub_29537	scene_archive_swap_close	0x295D0	153	implemented_pending_review	model	model::GameSnapshot::set_scene_value; SceneSession::set_scene_value	research/evidence/functions/Z_DAT/0x29537.md	script434 full-map replacement plus snapshot fixed-span oracle	not_started	complete final review; current KDEF has no external opcode38 occurrence
6	0x295D0	sub_295D0	scene_backup_archives_open	0x296E6	278	implemented_pending_review	model	model::GameSnapshot scene spans; persistence::write_snapshot	research/evidence/functions/Z_DAT/0x295D0.md	script436 external event write; persistence byte round-trip	not_started	complete final review; audit delegated write/error boundaries
7	0x296E6	sub_296E6	scene_session_initialize	0x29819	307	platform_adapted	scene	src/scene/scene.cpp:SceneSession::SceneSession/complete_scene_jump/update_view_origin/player_frame	research/evidence/functions/Z_DAT/0x296E6.md	current Z.DAT 18-block entry-to-exit one-way review; exact animation/idle resets, normal words14/15 versus jump words24/25, signed view clamp, X-major 64x64 event-cell count; real scene70 plus synthetic boundary oracle; original runtime oracle blocked	converged_no_new_differences
8	0x29819	sub_29819	scene_move_horizontal	0x299A1	392	platform_adapted	scene	src/scene/scene.cpp:SceneSession::move/apply_scripted_walk_step/target_is_walkable/update_view_origin/player_frame/commit_header	research/evidence/functions/Z_DAT/0x29819.md	current Z.DAT 26-block entry-to-exit one-way review; all six caller sites; building/signed-height/event/nine-earth-range guards; both x clamp endpoints; exact active/20-tick reset with 50-tick/step/delay preservation; Linux app Debug 14/14 proc_8545; original runtime oracle blocked	converged_no_new_differences
9	0x299A1	sub_299A1	scene_move_vertical	0x29B3C	411	platform_adapted	scene	src/scene/scene.cpp:SceneSession::move/apply_scripted_walk_step/target_is_walkable/update_view_origin/player_frame/commit_header	research/evidence/functions/Z_DAT/0x299A1.md	current Z.DAT 29-block entry-to-exit one-way review; all six caller sites; corrected negative-step up direction; script343 five picture/frame hashes plus blocked path; both y clamp endpoints; exact active/20-tick reset with 50-tick/step/delay preservation; Linux app Debug 14/14 proc_8545; original runtime oracle blocked	converged_no_new_differences
10	0x29B3C	sub_29B3C	scene_event_picture_advance	0x29C36	250	platform_adapted	scene	src/scene/scene.cpp:SceneSession::SceneSession/idle_tick/advance_event_pictures/complete_scene_jump	research/evidence/functions/Z_DAT/0x29B3C.md	current Z.DAT 17-block entry-to-exit one-way review; all five caller sites and exact counter ownership; X-major duplicate-cell side effects; reset/periodic/signed-delay vectors; 100-scene duplicate scan; Linux app Debug 14/14 proc_98d0; original runtime oracle blocked	converged_no_new_differences
